baseline_revision,python_source,sha256,import_roots,production_reference_matches,test_reference_matches,contract_reference_matches,proposed_owner_review_required,migration_status,workload_admission
f7843023394698a666bd16377aac1c0e13855795,clients/python/marklab_client.py,008e87867b93995e223dd239acd05aaa0d912afae75b311e9d49b67f6826deb4,__future__;copy;json;math;pathlib;subprocess;tempfile;typing,,clients/python/tests/test_client.py,docs/implementation/CANONICAL_SYMBOLS.md;docs/implementation/task-contracts/ARCH-INTEGRATION-01.md,library application / bounded H5AD ingestion,pending,existing caller fixtures; not yet individually admitted
f7843023394698a666bd16377aac1c0e13855795,workers/python/crc_spatial_outcome_statistics.py,3e99b5eed548aedbf9114c86b7eea4e7218136ed9a375456a79a71e67c6612ff,__future__;collections;itertools;math;random;statistics;typing,workers/python/marklab_crc_spatial_phenotype_outcome.py,tests/python/test_crc_spatial_outcome_statistics.py,docs/implementation/CANONICAL_SYMBOLS.md,library application; existing data/cohort/scientific owners,pending,existing caller fixtures; not yet individually admitted
f7843023394698a666bd16377aac1c0e13855795,workers/python/marklab_advanced3d_validation_worker.py,364c79740ed06155981e9591d94d4e79d45c37fe1a610b1586d5c9bc1b650c0a,gudhi;hashlib;json;math;numpy;scipy;sys,src/bin/marklab/spatial3d_model.rs,,docs/implementation/CANONICAL_SYMBOLS.md,marklab-spatial3d,pending,existing caller fixtures; not yet individually admitted
f7843023394698a666bd16377aac1c0e13855795,workers/python/marklab_arviz_psis_loo_worker.py,2f63df9bdd220424b725c58ab21dbcb6422a9ab69acd95ba49aefc296dc2a985,__future__;arviz;arviz_stats;hashlib;json;math;numpy;pathlib;sys;typing,src/bin/marklab/bayes/psis_loo.rs,,docs/implementation/CANONICAL_SYMBOLS.md,marklab-bayes,pending,existing caller fixtures; not yet individually admitted
f7843023394698a666bd16377aac1c0e13855795,workers/python/marklab_backend_doctor.py,a288097385a7c44859ab52772fb4ec97aff1c586baa4b97833e61f8ca9961c71,importlib;pathlib;re;sys;tomllib,src/bin/marklab/backend.rs,,docs/implementation/CANONICAL_SYMBOLS.md,runtime delivery; remove after final migration,pending,existing caller fixtures; not yet individually admitted
f7843023394698a666bd16377aac1c0e13855795,workers/python/marklab_ccazoo_bayesian_pcca_worker.py,e8d6bc2f5fcd779828334b57154181cbf4fda9bdf1557d5c5956b3b319963ab2,cca_zoo;hashlib;jax;json;math;numpy;numpyro;scipy;sys,src/bin/marklab/multimodal_model/paired.rs,,docs/implementation/CANONICAL_SYMBOLS.md,marklab-bayes,pending,existing caller fixtures; not yet individually admitted
f7843023394698a666bd16377aac1c0e13855795,workers/python/marklab_cellvit_cptac_results_adapter.py,667c6508568a3f3c7fc63f51643a270019f5d7c6eb766d89b02fa7ca4eb10522,__future__;argparse;cellvit;collections;csv;hashlib;heapq;json;math;numpy;os;pathlib;shapely;snappy;statistics;struct;torch;typing;unicodedata,workers/python/marklab_cellvit_joint_location_embedding_table.py;workers/python/marklab_cellvit_patient_local_fields.py;workers/python/marklab_crc_categorical_pair_patient.py,tests/cellvit_beta_binomial_input.rs;tests/python/test_marklab_cellvit_cptac_results_adapter.py,docs/implementation/CANONICAL_SYMBOLS.md;docs/implementation/VALIDATION_LEDGER.md,library application; existing data/cohort/scientific owners,pending,existing caller fixtures; not yet individually admitted
f7843023394698a666bd16377aac1c0e13855795,workers/python/marklab_cellvit_joint_location_embedding_table.py,69b5eb8e96938786c4bb32ca9fef118d7b105af13fb4a1dafd89d3921aaaa5fc,__future__;argparse;collections;csv;hashlib;json;marklab_cellvit_cptac_results_adapter;math;os;pathlib;shapely;typing,,tests/python/test_cellvit_joint_location_embedding_table.py,docs/implementation/CANONICAL_SYMBOLS.md,library application; existing data/cohort/scientific owners,pending,existing caller fixtures; not yet individually admitted
f7843023394698a666bd16377aac1c0e13855795,workers/python/marklab_cellvit_lgcp_adapter.py,6fbd6ea17e44ddbdf0c9aff656356148de78f9c0dba025c1a858c99c3c7058c0,__future__;argparse;csv;hashlib;json;math;os;pathlib;snappy;typing,,workers/python/test_marklab_cellvit_lgcp_adapter.py,docs/implementation/CANONICAL_SYMBOLS.md,library application; existing data/cohort/scientific owners,pending,existing caller fixtures; not yet individually admitted
f7843023394698a666bd16377aac1c0e13855795,workers/python/marklab_cellvit_patient_local_fields.py,be4edcc2c946c3a3d154497f721eb4ede1bf4fc5abeb147fbb037d1afbf2b502,__future__;argparse;concurrent;csv;hashlib;importlib;json;math;os;pathlib;shapely;shutil;subprocess;typing,,tests/python/test_cellvit_patient_local_fields.py,docs/implementation/CANONICAL_SYMBOLS.md,library application; existing data/cohort/scientific owners,pending,existing caller fixtures; not yet individually admitted
f7843023394698a666bd16377aac1c0e13855795,workers/python/marklab_cellvit_results_bundle.py,4693519d40b77aaa02c60746268294acfb61675637729bcf2384e867948895ff,__future__;argparse;hashlib;json;os;pathlib;sys;typing,,tests/cellvit_results_bundle.rs,docs/implementation/VALIDATION_LEDGER.md,library application; existing data/cohort/scientific owners,pending,existing caller fixtures; not yet individually admitted
